Name,Sector,ESGRating,Date,Category
KSB LIMITED,"Compressors, Pumps & Diesel Engines",Crisil ESG 53,21-May-25,Adequate
L G BALAKRISHNAN AND BROS LIMITED,Auto Components & Equipments,Crisil ESG 56,14-Aug-25,Adequate
L&T FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 70,18-Jun-25,Strong
L&T TECHNOLOGY SERVICES LIMITED,IT Enabled Services,Crisil ESG 69,16-Jun-25,Strong
LA OPALA R G LIMITED,Glass - Consumer,Crisil ESG 56,1-Sep-25,Adequate
LANDMARK CARS LIMITED,Auto Dealer,Crisil ESG 48,9-Oct-25,Below average
LARSEN AND TOUBRO LIMITED,Civil Construction,Crisil ESG 62,24-Jun-25,Strong
LATENT VIEW ANALYTICS LIMITED,Computers - Software & Consulting,Crisil ESG 62,21-Jul-25,Strong
LAURUS LABS LIMITED,Pharmaceuticals,Crisil ESG 58,11-Jul-25,Adequate
LAXMI ORGANIC INDUSTRIES LIMITED,Specialty Chemicals,Crisil ESG 53,18-Aug-25,Adequate
LEMON TREE HOTELS LIMITED,Hotels & Resorts,Crisil ESG 57,13-Oct-25,Adequate
LIC HOUSING FINANCE LIMITED,Housing Finance Company,Crisil ESG 63,11-Sep-25,Strong
LIFE INSURANCE CORPORATION OF INDIA,Life Insurance,Crisil ESG 56,8-Sep-25,Adequate
LINDE INDIA LIMITED,Industrial Gases,Crisil ESG 51,29-Aug-25,Adequate
LLOYDS METALS AND ENERGY LIMITED,Industrial Minerals,Crisil ESG 49,18-Jun-25,Below average
LMW LIMITED,Industrial Products,Crisil ESG 58,8-Jul-25,Adequate
LODHA DEVELOPERS LIMITED,"Residential, Commercial Projects",Crisil ESG 62,28-Aug-25,Strong
LODHA DEVELOPERS LIMITED,"Residential, Commercial Projects",Crisil ESG 62,19-Aug-25,Strong
LT FOODS LIMITED,Other Agricultural Products,Crisil ESG 54,15-Oct-25,Adequate
LTM LIMITED,Computers - Software & Consulting,Crisil ESG 73,16-Jun-25,Leadership
LUMAX AUTO TECHNOLOGIES LIMITED,Auto Components & Equipments,Crisil ESG 57,5-Sep-25,Adequate
LUMAX INDUSTRIES LIMITED,Auto Components & Equipments,Crisil ESG 54,5-Sep-25,Adequate
LUPIN LIMITED,Pharmaceuticals,Crisil ESG 62,28-Aug-25,Strong
LUX INDUSTRIES LIMITED,Garments & Apparels,Crisil ESG 54,8-Oct-25,Adequate
MAHANAGAR GAS LIMITED,LPG/CNG/PNG/LNG Supplier,Crisil ESG 59,10-Sep-25,Adequate
MAHANAGAR TELEPHONE NIGAM LIMITED,Telecom - Cellular & Fixed line services,Crisil ESG 42,17-Oct-25,Below average
MAHARASHTRA SCOOTERS LIMITED,Investment Company,Crisil ESG 63,8-Aug-25,Strong
MAHARASHTRA SEAMLESS LIMITED,Iron & Steel Products,Crisil ESG 51,16-Sep-25,Adequate
MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED*,Non Banking Financial Company (NBFC),Crisil ESG 66,15-Jul-25,Strong
MAHINDRA AND MAHINDRA LIMITED,Passenger Cars & Utility Vehicles,Crisil ESG 66,7-Aug-25,Strong
MAHINDRA HOLIDAYS AND RESORTS INDIA LIMITED*,Hotels & Resorts,Crisil ESG 54,31-Jul-25,Adequate
MAHINDRA LIFESPACE DEVELOPERS LIMITED,"Residential, Commercial Projects",Crisil ESG 57,5-Aug-25,Adequate
MAHINDRA LOGISTICS LIMITED,Logistics Solution Provider,Crisil ESG 61,4-Aug-25,Strong
MAHINDRA RURAL HOUSING FINANCE LIMITED,Housing Finance Company,Crisil ESG 54,4-Jul-25,Adequate
MAITHAN ALLOYS LIMITED,Ferro & Silica Manganese,Crisil ESG 44,17-Oct-25,Below average
MAN INFRACONSTRUCTION LIMITED,Civil Construction,Crisil ESG 45,8-Aug-25,Below average
MANALI PETROCHEMICALS LIMITED,Petrochemicals,Crisil ESG 47,3-Oct-25,Below average
MANAPPURAM FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 63,29-Aug-25,Strong
MANGALAM CEMENT LIMITED,Cement & Cement Products,Crisil ESG 50,5-Sep-25,Below average
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,Refineries & Marketing,Crisil ESG 50,5-Sep-25,Below average
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,Refineries & Marketing,Crisil ESG 47,23-Jul-25,Below average
MANKIND PHARMA LIMITED,Pharmaceuticals,Crisil ESG 57,22-Aug-25,Adequate
MANORAMA INDUSTRIES LIMITED,Other Food Products,Crisil ESG 56,15-Sep-25,Adequate
MARICO LIMITED,Edible Oil,Crisil ESG 64,8-Aug-25,Strong
MARKSANS PHARMA LIMITED,Pharmaceuticals,Crisil ESG 50,25-Aug-25,Below average
MARUTI SUZUKI INDIA LIMITED,Passenger Cars & Utility Vehicles,Crisil ESG 63,12-Sep-25,Strong
MAS FINANCIAL SERVICES LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 62,17-Sep-25,Strong
MASTEK LIMITED,Computers - Software & Consulting,Crisil ESG 64,8-Oct-25,Strong
MATRIMONY.COM LIMITED,Internet & Catalogue Retail,Crisil ESG 56,25-Aug-25,Adequate
MAX FINANCIAL SERVICES LIMITED,Life Insurance,Crisil ESG 62,3-Oct-25,Strong
MAX HEALTHCARE INSTITUTE LIMITED,Hospital,Crisil ESG 63,13-Aug-25,Strong
MAYUR UNIQUOTERS LIMITED,Leather And Leather Products,Crisil ESG 54,26-Sep-25,Adequate
MAZAGON DOCK SHIPBUILDERS LIMITED,Ship Building & Allied Services,Crisil ESG 53,7-Oct-25,Adequate
MEDPLUS HEALTH SERVICES LIMITED,Pharmacy Retail,Crisil ESG 55,30-Sep-25,Adequate
METRO BRANDS LIMITED,Footwear,Crisil ESG 61,3-Oct-25,Strong
METROPOLIS HEALTHCARE LIMITED,Healthcare Service Provider,Crisil ESG 57,29-Aug-25,Adequate
MINDA CORPORATION LIMITED,Auto Components & Equipments,Crisil ESG 56,5-Sep-25,Adequate
MINDSPACE BUSINESS PARKS REIT (MINDSPACE REIT),REIT,Crisil ESG 57,8-Jul-25,Adequate
MIRZA INTERNATIONAL LIMITED,Leather And Leather Products,Crisil ESG 54,23-Jul-25,Adequate
MISHRA DHATU NIGAM LIMITED,Aerospace & Defense,Crisil ESG 51,15-Oct-25,Adequate
MM FORGINGS LIMITED,Auto Components & Equipments,Crisil ESG 51,14-Aug-25,Adequate
MMTC LIMITED,Trading & Distributors,Crisil ESG 48,10-Oct-25,Below average
MOIL LIMITED,Industrial Minerals,Crisil ESG 47,20-Oct-25,Below average
MOLD-TEK PACKAGING LIMITED,Packaging,Crisil ESG 55,16-Oct-25,Adequate
MOREPEN LABORATORIES LIMITED,Pharmaceuticals,Crisil ESG 57,19-Sep-25,Adequate
MOSCHIP TECHNOLOGIES LIMITED,Computers - Hardware & Equipments,Crisil ESG 57,16-Oct-25,Adequate
MOTHERSON SUMI WIRING INDIA LIMITED,Auto Components & Equipments,Crisil ESG 60,12-Sep-25,Adequate
MOTILAL OSWAL FINANCIAL SERVICES LIMITED,Stockbroking & Allied,Crisil ESG 61,1-Aug-25,Strong
MOTILAL OSWAL HOME FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 53,4-Jul-25,Adequate
MPHASIS LIMITED,Computers - Software & Consulting,Crisil ESG 64,6-Aug-25,Strong
MPS LIMITED,E-Learning,Crisil ESG 58,5-Sep-25,Adequate
MRF LIMITED,Tyres & Rubber Products,Crisil ESG 55,22-Aug-25,Adequate
MRS.BECTORS FOOD SPECIALITIES LIMITED,Packaged Foods,Crisil ESG 56,1-Oct-25,Adequate
MSTC LIMITED,Trading & Distributors,Crisil ESG 51,10-Oct-25,Adequate
MTAR TECHNOLOGIES LIMITED,Aerospace & Defense,Crisil ESG 56,3-Oct-25,Adequate
MUKAND LIMITED,Iron & Steel,Crisil ESG 51,25-Aug-25,Adequate
MULTI COMMODITY EXCHANGE OF INDIA LIMITED,Exchange and Data Platform,Crisil ESG 63,29-Sep-25,Strong
MUSIC BROADCAST LIMITED,Media & Entertainment,Crisil ESG 57,30-Sep-25,Adequate
MUTHOOT FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 63,17-Sep-25,Strong
NACL INDUSTRIES LIMITED,Pesticides & Agrochemicals,Crisil ESG 51,1-Oct-25,Adequate
NAHAR SPINNING MILLS LIMITED,Other Textile Products,Crisil ESG 52,7-Oct-25,Adequate
NARAYANA HRUDAYALAYA LIMITED,Hospital,Crisil ESG 56,16-Sep-25,Adequate
NATCO PHARMA LIMITED,Pharmaceuticals,Crisil ESG 59,8-Oct-25,Adequate
NATIONAL ALUMINIUM COMPANY LIMITED,Aluminium,Crisil ESG 50,13-Oct-25,Below average
NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,Financial Institutions,Crisil ESG 53,26-Aug-25,Adequate
NATIONAL FERTILIZERS LIMITED,Fertilizers,Crisil ESG 46,10-Oct-25,Below average
NATIONAL HIGHWAYS AUTHORITY OF INDIA,"Road Assets–Toll, Annuity, Hybrid-Annuity",Crisil ESG 33,20-Oct-25,Weak
NATIONAL HOUSING BANK,Financial Institutions,Crisil ESG 52,10-Dec-25,Adequate
NAVA LIMITED,Power Generation,Crisil ESG 44,29-Aug-25,Below average
NAVIN FLUORINE INTERNATIONAL LIMITED,Specialty Chemicals,Crisil ESG 56,18-Aug-25,Adequate
NAVNEET EDUCATION LIMITED,Printing & Publication,Crisil ESG 56,14-Oct-25,Adequate
NAZARA TECHNOLOGIES LIMITED,Digital Entertainment,Crisil ESG 47,16-Oct-25,Below average
NBCC (INDIA) LIMITED,Civil Construction,Crisil ESG 50,8-Oct-25,Below average
NCC LIMITED,Civil Construction,Crisil ESG 54,9-Sep-25,Adequate
NELCO LIMITED,Computers - Hardware & Equipments,Crisil ESG 57,3-Jul-25,Adequate
NEOGEN CHEMICALS LIMITED,Specialty Chemicals,Crisil ESG 52,13-Oct-25,Adequate
NESCO LIMITED,"Residential, Commercial Projects",Crisil ESG 56,14-Aug-25,Adequate
NESTLE INDIA LIMITED,Packaged Foods,Crisil ESG 62,20-Jun-25,Strong
NETWORK18 MEDIA AND INVESTMENTS LIMITED,Media & Entertainment,Crisil ESG 48,3-Jul-25,Below average
NEULAND LABORATORIES LIMITED,Pharmaceuticals,Crisil ESG 60,13-Aug-25,Adequate
NEWGEN SOFTWARE TECHNOLOGIES LIMITED,Computers - Software & Consulting,Crisil ESG 64,21-Jul-25,Strong
NHPC LIMITED,Power Generation,Crisil ESG 57,18-Sep-25,Adequate
NIIT LIMITED,Education,Crisil ESG 60,8-Oct-25,Adequate
NILKAMAL LIMITED,Plastic Products - Consumer,Crisil ESG 54,23-Jul-25,Adequate
NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,Asset Management Company,Crisil ESG 64,1-Aug-25,Strong
NIRLON LIMITED,"Residential, Commercial Projects",Crisil ESG 56,3-Oct-25,Adequate
NITIN SPINNERS LIMITED,Other Textile Products,Crisil ESG 54,16-Sep-25,Adequate
NLC INDIA LIMITED,Power Generation,Crisil ESG 49,17-Oct-25,Below average
NMDC LIMITED,Industrial Minerals,Crisil ESG 50,16-Sep-25,Below average
NOCIL LIMITED,Specialty Chemicals,Crisil ESG 55,12-Aug-25,Adequate
NOVARTIS INDIA LIMITED,Pharmaceuticals,Crisil ESG 55,30-Jul-25,Adequate
NRB BEARINGS LIMITED,Auto Components & Equipments,Crisil ESG 58,12-Sep-25,Adequate
NTPC LIMITED,Power Generation,Crisil ESG 55,19-Sep-25,Adequate
NUCLEAR POWER CORPORATION OF INDIA LIMITED,Power Generation,Crisil ESG 38,1-Oct-25,Weak
NURECA LIMITED,Medical Equipment & Supplies,Crisil ESG 52,27-Jun-25,Adequate
NUVOCO VISTAS CORPORATION LIMITED,Cement & Cement Products,Crisil ESG 56,22-Jul-25,Adequate
OBEROI REALTY LIMITED,"Residential, Commercial Projects",Crisil ESG 56,16-Jul-25,Adequate
OIL AND NATURAL GAS CORPORATION LIMITED,Oil Exploration & Production,Crisil ESG 46,17-Sep-25,Below average
OIL AND NATURAL GAS CORPORATION LIMITED,Oil Exploration & Production,Crisil ESG 43,20-Jun-25,Below average
OIL INDIA LIMITED,Oil Exploration & Production,Crisil ESG 52,7-Oct-25,Adequate
OMAXE LIMITED,"Residential, Commercial Projects",Crisil ESG 39,16-Oct-25,Weak
ONE 97 COMMUNICATIONS LIMITED,Financial Technology (Fintech),Crisil ESG 54,12-Sep-25,Adequate
ONGC PETRO ADDITIONS LIMITED,Petrochemicals,Crisil ESG 36,14-Oct-25,Weak
ONMOBILE GLOBAL LIMITED,Web based media and service,Crisil ESG 51,6-Oct-25,Adequate
OPG POWER GENERATION POWER PRIVATE LIMITED,Power Generation,Crisil ESG 40,20-Oct-25,Weak
ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,Software Products,Crisil ESG 65,21-Jul-25,Strong
ORCHID PHARMA LIMITED,Pharmaceuticals,Crisil ESG 54,23-Sep-25,Adequate
ORIENT CEMENT LIMITED,Cement & Cement Products,Crisil ESG 55,20-Aug-25,Adequate
ORIENT ELECTRIC LIMITED,Household Appliances,Crisil ESG 58,25-Jul-25,Adequate
ORIENTAL AROMATICS LIMITED,Specialty Chemicals,Crisil ESG 51,3-Sep-25,Adequate
ORIENTAL HOTELS LIMITED,Hotels & Resorts,Crisil ESG 57,8-Aug-25,Adequate
PAGE INDUSTRIES LIMITED,Garments & Apparels,Crisil ESG 61,29-Jul-25,Strong
PAISALO DIGITAL LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 61,14-Oct-25,Strong
PANACEA BIOTEC LIMITED,Pharmaceuticals,Crisil ESG 49,17-Oct-25,Below average
PANAMA PETROCHEM LIMITED,Lubricants,Crisil ESG 54,22-Sep-25,Adequate
PANATONE FINVEST LIMITED,Holding Company,Crisil ESG 46,8-May-25,Below average
PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,Aerospace & Defense,Crisil ESG 55,8-Sep-25,Adequate
PATANJALI FOODS LIMITED,Edible Oil,Crisil ESG 53,14-Oct-25,Adequate
PATEL ENGINEERING LIMITED,Civil Construction,Crisil ESG 52,26-Sep-25,Adequate
PB FINTECH LIMITED,Financial Technology (Fintech),Crisil ESG 58,14-Oct-25,Adequate
PCBL CHEMICAL LIMITED,Carbon Black,Crisil ESG 55,17-Sep-25,Adequate
PDS LIMITED,Trading - Textile Products,Crisil ESG 56,8-Aug-25,Adequate
PERSISTENT SYSTEMS LIMITED,Computers - Software & Consulting,Crisil ESG 74,21-Jul-25,Leadership
PETRONET LNG LIMITED,LPG/CNG/PNG/LNG Supplier,Crisil ESG 58,8-Oct-25,Adequate
PFIZER LIMITED,Pharmaceuticals,Crisil ESG 61,30-Jul-25,Strong
PG ELECTROPLAST LIMITED,Consumer Electronics,Crisil ESG 52,10-Oct-25,Adequate
PI INDUSTRIES LIMITED,Pesticides & Agrochemicals,Crisil ESG 59,28-Aug-25,Adequate
PIDILITE INDUSTRIES LIMITED,Specialty Chemicals,Crisil ESG 54,18-Aug-25,Adequate
PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,Holding Company,Crisil ESG 57,16-Jul-25,Adequate
PIRAMAL ENTERPRISES LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 63,15-Jul-25,Strong
PIRAMAL FINANCE LIMITED,Housing Finance Company,Crisil ESG 53,11-Aug-25,Adequate
PITTI ENGINEERING LIMITED,Industrial Products,Crisil ESG 54,14-Oct-25,Adequate
PNB HOUSING FINANCE LIMITED,Housing Finance Company,Crisil ESG 60,5-Sep-25,Adequate
PNC INFRATECH LIMITED,Civil Construction,Crisil ESG 48,16-Oct-25,Below average
POKARNA LIMITED,Granites & Marbles,Crisil ESG 41,19-Sep-25,Below Average
POLY MEDICURE LIMITED,Medical Equipment & Supplies,Crisil ESG 51,13-Oct-25,Adequate
POLYCAB INDIA LIMITED,Cables - Electricals,Crisil ESG 56,8-Jul-25,Adequate
POLYPLEX CORPORATION LIMITED,Packaging,Crisil ESG 45,1-Oct-25,Below average
POONAWALLA FINCORP LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 62,14-Aug-25,Strong
POWER FINANCE CORPORATION LIMITED,Financial Institutions,Crisil ESG 62,15-Sep-25,Strong
POWER GRID CORPORATION OF INDIA LIMITED,Power - Transmission,Crisil ESG 58,12-Sep-25,Adequate
POWER MECH PROJECTS LIMITED,Civil Construction,Crisil ESG 47,8-Oct-25,Below average
POWERGRID INFRASTRUCTURE INVESTMENT TRUST,Power - Transmission,Crisil ESG 37,8-Aug-25,Weak
PRAJ INDUSTRIES LIMITED,Industrial Products,Crisil ESG 58,22-Aug-25,Adequate
PRATAAP SNACKS LIMITED,Packaged Foods,Crisil ESG 55,8-Aug-25,Adequate
PRESTIGE ESTATES PROJECTS LIMITED,"Residential, Commercial Projects",Crisil ESG 54,26-Sep-25,Adequate
PRIME FOCUS LIMITED,Media & Entertainment,Crisil ESG 43,15-Oct-25,Below average
PRIMO CHEMICALS LIMITED,Commodity Chemicals,Crisil ESG 48,17-Oct-25,Below average
PRINCE PIPES AND FITTINGS LIMITED,Plastic Products - Industrial,Crisil ESG 55,23-Sep-25,Adequate
PRISM JOHNSON LIMITED,Cement & Cement Products,Crisil ESG 54,22-Aug-25,Adequate
PRIVI SPECIALITY CHEMICALS LIMITED,Specialty Chemicals,Crisil ESG 55,12-Aug-25,Adequate
PROCTER & GAMBLE HEALTH LIMITED,Pharmaceuticals,Crisil ESG 59,11-Sep-25,Adequate
PROCTER AND GAMBLE HYGIENE AND HEALTH CARE LIMITED,Personal Care,Crisil ESG 59,22-Sep-25,Adequate
PSP PROJECTS LIMITED,Civil Construction,Crisil ESG 54,15-Oct-25,Adequate
PTC INDIA FINANCIAL SERVICES LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 55,21-Aug-25,Adequate
PTC INDIA FINANCIAL SERVICES LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 52,6-Oct-25,Adequate
PTC INDIA LIMITED,Power Trading,Crisil ESG 50,18-Aug-25,Below average
PUNJAB AND SIND BANK,Public Sector Bank,Crisil ESG 58,20-Aug-25,Adequate
PUNJAB CHEMICALS AND CROP PROTECTION LIMITED,Pesticides & Agrochemicals,Crisil ESG 49,14-Aug-25,Below average
PUNJAB NATIONAL BANK,Public Sector Bank,Crisil ESG 62,2-Jul-25,Strong
PURAVANKARA LIMITED,"Residential, Commercial Projects",Crisil ESG 44,16-Oct-25,Below average
PVR INOX LIMITED,"Film Production, Distribution & Exhibition",Crisil ESG 52,23-Sep-25,Adequate
QUESS CORP LIMITED,Diversified Commercial Services,Crisil ESG 59,12-Sep-25,Adequate
R SYSTEMS INTERNATIONAL LIMITED,IT Enabled Services,Crisil ESG 54,23-May-25,Adequate
RADIANT CASH MANAGEMENT SERVICES LIMITED,Diversified Commercial Services,Crisil ESG 50,26-Sep-25,Below average
RADICO KHAITAN LIMITED,Breweries & Distilleries,Crisil ESG 51,8-Aug-25,Adequate
RAIL VIKAS NIGAM LIMITED,Civil Construction,Crisil ESG 47,16-Sep-25,Below average
RAILTEL CORPORATION OF INDIA LIMITED,Other Telecom Services,Crisil ESG 53,1-Sep-25,Adequate
RAIN INDUSTRIES LIMITED,Petrochemicals,Crisil ESG 56,20-May-25,Adequate
RAINBOW CHILDRENS MEDICARE LIMITED,Hospital,Crisil ESG 59,23-Jul-25,Adequate
RAJESH EXPORTS LIMITED,"Gems, Jewellery And Watches",Crisil ESG 38,2-Feb-26,Weak
RAJRATAN GLOBAL WIRE LIMITED,Auto Components & Equipments,Crisil ESG 55,25-Aug-25,Adequate
RALLIS INDIA LIMITED,Pesticides & Agrochemicals,Crisil ESG 57,20-Jun-25,Adequate
RAMCO INDUSTRIES LIMITED,Other Construction Materials,Crisil ESG 55,29-Aug-25,Adequate
RAMCO SYSTEMS LIMITED,Software Products,Crisil ESG 56,26-Aug-25,Adequate
RAMKRISHNA FORGINGS LIMITED,Auto Components & Equipments,Crisil ESG 52,3-Oct-25,Adequate
RAMKY INFRASTRUCTURE LIMITED,Civil Construction,Crisil ESG 47,13-Oct-25,Below average
RANE HOLDINGS LIMITED,Holding Company,Crisil ESG 43,26-Aug-25,Below average
RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,Fertilizers,Crisil ESG 49,7-Nov-25,Below average
RATEGAIN TRAVEL TECHNOLOGIES LIMITED,Computers - Software & Consulting,Crisil ESG 60,13-Oct-25,Adequate
RATNAMANI METALS AND TUBES LIMITED,Iron & Steel Products,Crisil ESG 55,19-Sep-25,Adequate
RATTANINDIA ENTERPRISES LIMITED,E-Retail/ E-Commerce,Crisil ESG 48,16-Oct-25,Below average
RATTANINDIA POWER LIMITED,Power Generation,Crisil ESG 48,16-Oct-25,Below average
RAYMOND LIMITED,"Residential, Commercial Projects",Crisil ESG 52,22-Aug-25,Adequate
RBL BANK LIMITED,Private Sector Bank,Crisil ESG 64,24-Sep-25,Strong
REC LIMITED,Financial Institutions,Crisil ESG 64,10-Sep-25,Strong
REDINGTON LIMITED,Trading & Distributors,Crisil ESG 59,11-Aug-25,Adequate
RELAXO FOOTWEARS LIMITED,Footwear,Crisil ESG 53,12-Sep-25,Adequate
RELIANCE INDUSTRIAL INFRASTRUCTURE LIMITED,Logistics Solution Provider,Crisil ESG 53,24-Jun-25,Adequate
RELIANCE INDUSTRIES LIMITED,Refineries & Marketing,Crisil ESG 55,17-Sep-25,Adequate
RELIANCE INFRASTRUCTURE LIMITED,Integrated Power Utilities,Crisil ESG 53,26-Aug-25,Adequate
RELIANCE INFRASTRUCTURE LIMITED,Integrated Power Utilities,Crisil ESG 51,15-Dec-25,Adequate
RELIANCE INFRASTRUCTURE LIMITED,Integrated Power Utilities,Crisil ESG 47,3-Feb-26,Below average
RELIANCE JIO INFOCOMM LIMITED,Telecom - Cellular & Fixed line services,Crisil ESG 47,16-Sep-25,Below average
RELIANCE POWER LIMITED,Power Generation,Crisil ESG 46,11-Aug-25,Below average
RELIANCE POWER LIMITED,Power Generation,Crisil ESG 45,16-Oct-25,Below average
RELIANCE POWER LIMITED,Power Generation,Crisil ESG 44,15-Dec-25,Below average
RELIANCE RETAIL VENTURES LIMITED,Diversified Retail,Crisil ESG 39,16-Sep-25,Weak
RELIGARE ENTERPRISES LIMITED,Investment Company,Crisil ESG 45,16-Oct-25,Below average
RENAISSANCE GLOBAL LIMITED,"Gems, Jewellery And Watches",Crisil ESG 57,6-Oct-25,Adequate
REPCO HOME FINANCE LIMITED,Housing Finance Company,Crisil ESG 60,5-Sep-25,Adequate
RESPONSIVE INDUSTRIES LIMITED,"Furniture, Home Furnishing",Crisil ESG 47,3-Oct-25,Below average
RESTAURANT BRANDS ASIA LIMITED,Restaurants,Crisil ESG 50,19-Aug-25,Below average
RHI MAGNESITA INDIA LIMITED,Electrodes & Refractories,Crisil ESG 52,10-Oct-25,Adequate
RITES LIMITED,Civil Construction,Crisil ESG 54,8-Oct-25,Adequate
ROLEX RINGS LIMITED,Auto Components & Equipments,Crisil ESG 53,15-Oct-25,Adequate
ROSSARI BIOTECH LIMITED,Specialty Chemicals,Crisil ESG 49,20-Jun-25,Below average
ROUTE MOBILE LIMITED,Other Telecom Services,Crisil ESG 54,26-Sep-25,Adequate
RPSG VENTURES LIMITED,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Crisil ESG 66,23-Sep-25,Strong
RUPA & COMPANY LIMITED,Garments & Apparels,Crisil ESG 52,16-Sep-25,Adequate
S H KELKAR AND COMPANY LIMITED,Specialty Chemicals,Crisil ESG 49,26-Aug-25,Below average
S. P. APPARELS LIMITED,Garments & Apparels,Crisil ESG 50,17-Sep-25,Below Average
S.J.S. ENTERPRISES LIMITED,Auto Components & Equipments,Crisil ESG 54,28-Jul-25,Adequate
SAFARI INDUSTRIES (INDIA) LIMITED,Plastic Products - Consumer,Crisil ESG 57,7-Aug-25,Adequate
SAGAR CEMENTS LIMITED,Cement & Cement Products,Crisil ESG 53,16-Jul-25,Adequate
SAMMAAN CAPITAL LIMITED,Housing Finance Company,Crisil ESG 63,16-Oct-25,Strong
SAMMAAN FINSERVE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 51,16-Oct-25,Adequate
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,Auto Components & Equipments,Crisil ESG 60,12-Sep-25,Adequate
SANDHAR TECHNOLOGIES LIMITED,Auto Components & Equipments,Crisil ESG 55,3-Oct-25,Adequate
SANGAM (INDIA) LIMITED,Other Textile Products,Crisil ESG 52,1-Oct-25,Adequate
SANOFI INDIA LIMITED,Pharmaceuticals,Crisil ESG 62,20-May-25,Strong
SANSERA ENGINEERING LIMITED,Auto Components & Equipments,Crisil ESG 57,14-Oct-25,Adequate
SAPPHIRE FOODS INDIA LIMITED,Restaurants,Crisil ESG 57,19-Aug-25,Adequate
SARDA ENERGY AND MINERALS LIMITED,Iron & Steel,Crisil ESG 45,13-Oct-25,Below average
SAREGAMA INDIA LIMITED,Media & Entertainment,Crisil ESG 59,23-Sep-25,Adequate
SASKEN TECHNOLOGIES LIMITED,IT Enabled Services,Crisil ESG 62,26-Aug-25,Strong
SATIN CREDITCARE NETWORK LIMITED,Microfinance Institutions,Crisil ESG 63,19-Aug-25,Strong
SAVITA OIL TECHNOLOGIES LTD,Lubricants,Crisil ESG 55,9-Oct-25,Adequate
SBI CARDS AND PAYMENT SERVICES LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 65,9-Sep-25,Strong
SBI LIFE INSURANCE COMPANY LIMITED,Life Insurance,Crisil ESG 60,12-Sep-25,Adequate
SCHAEFFLER INDIA LIMITED,Auto Components & Equipments,Crisil ESG 63,16-May-25,Strong
SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,Heavy Electrical Equipment,Crisil ESG 63,19-Sep-25,Strong
SEAMEC LIMITED,Shipping,Crisil ESG 53,26-Aug-25,Adequate
SESHASAYEE PAPER AND BOARDS LIMITED,Paper & Paper Products,Crisil ESG 51,25-Jun-25,Adequate
SHAILY ENGINEERING PLASTICS LIMITED,Plastic Products - Industrial,Crisil ESG 56,13-Oct-25,Adequate
SHALBY LIMITED,Hospital,Crisil ESG 55,14-Oct-25,Adequate
SHANKARA BUILDING PRODUCTS LIMITED,Speciality Retail,Crisil ESG 52,25-Jun-25,Adequate
SHANTHI GEARS LIMITED,Industrial Products,Crisil ESG 55,5-Aug-25,Adequate
SHARDA CROPCHEM LIMITED,Pesticides & Agrochemicals,Crisil ESG 45,12-Aug-25,Below average
SHARDA MOTOR INDUSTRIES LIMITED,Auto Components & Equipments,Crisil ESG 61,1-Oct-25,Strong
SHEELA FOAM LIMITED,"Furniture, Home Furnishing",Crisil ESG 58,23-Jul-25,Adequate
SHILPA MEDICARE LIMITED,Pharmaceuticals,Crisil ESG 51,23-Sep-25,Adequate
SHIPPING CORPORATION OF INDIA LIMITED,Shipping,Crisil ESG 49,30-Sep-25,Below average
SHOPPERS STOP LIMITED,Diversified Retail,Crisil ESG 58,31-Jul-25,Adequate
SHREE CEMENT LIMITED,Cement & Cement Products,Crisil ESG 57,20-Aug-25,Adequate
SHREE RENUKA SUGARS LIMITED,Sugar,Crisil ESG 52,10-Oct-25,Adequate
SHRIRAM FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 65,15-Jul-25,Strong
SHRIRAM PROPERTIES LIMITED,"Residential, Commercial Projects",Crisil ESG 47,13-Oct-25,Below average
SHYAM METALICS AND ENERGY LIMITED,Iron & Steel Products,Crisil ESG 50,12-Sep-25,Below average
SIEMENS LIMITED,Heavy Electrical Equipment,Crisil ESG 61,10-Feb-26,Strong
