Name,Sector,ESGRating,Date,Category
BAJAJ CONSUMER CARE LIMITED,Personal Care,Crisil ESG 59,28-Aug-25,Adequate
BAJAJ ELECTRICALS LIMITED,Household Appliances,Crisil ESG 61,8-Aug-25,Strong
BAJAJ FINANCE LIMITED,Non Banking Financial Company (NBFC),Crisil ESG 66,8-Aug-25,Strong
BAJAJ FINSERV LIMITED,Holding Company,Crisil ESG 64,8-Aug-25,Strong
BAJAJ HINDUSTHAN SUGAR LIMITED,Sugar,Crisil ESG 56,23-Sep-25,Adequate
BAJAJ HOLDINGS & INVESTMENT LIMITED,Holding Company,Crisil ESG 60,8-Aug-25,Adequate
BAJAJ HOUSING FINANCE LIMITED,Housing Finance Company,Crisil ESG 61,8-Aug-25,Strong
BALAJI AMINES LIMITED,Specialty Chemicals,Crisil ESG 47,22-Aug-25,Below average
BALKRISHNA INDUSTRIES LIMITED,Tyres & Rubber Products,Crisil ESG 58,13-Aug-25,Adequate
BALRAMPUR CHINI MILLS LIMITED,Sugar,Crisil ESG 62,15-Sep-25,Strong
BANCO PRODUCTS (I) LIMITED,Auto Components & Equipments,Crisil ESG 47,1-Oct-25,Below average
BANDHAN BANK LIMITED,Private Sector Bank,Crisil ESG 66,5-Sep-25,Strong
BANK OF BARODA,Public Sector Bank,Crisil ESG 61,2-Jul-25,Strong
BANK OF INDIA,Public Sector Bank,Crisil ESG 64,2-Jul-25,Strong
BANK OF MAHARASHTRA,Public Sector Bank,Crisil ESG 62,2-Jul-25,Strong
BANNARI AMMAN SUGARS LIMITED,Sugar,Crisil ESG 55,4-Sep-25,Adequate
BASF INDIA LIMITED,Specialty Chemicals,Crisil ESG 54,22-Aug-25,Adequate
BATA INDIA LIMITED,Footwear,Crisil ESG 62,26-Aug-25,Strong
BAYER CROPSCIENCE LIMITED,Pesticides & Agrochemicals,Crisil ESG 59,1-Sep-25,Adequate
BEML LIMITED,Construction Vehicles,Crisil ESG 56,14-Oct-25,Adequate
BENGAL & ASSAM COMPANY LIMITED,Investment Company,Crisil ESG 51,15-Oct-25,Adequate
BERGER PAINTS INDIA LIMITED,Paints,Crisil ESG 58,29-Aug-25,Adequate
BF UTILITIES LIMITED,"Road Assets–Toll, Annuity, Hybrid-Annuity",Crisil ESG 37,26-Dec-25,Weak
BHANSALI ENGINEERING POLYMERS LIMITED,Specialty Chemicals,Crisil ESG 50,1-Oct-25,Below average
BHARAT BIJLEE LIMITED,Other Electrical Equipment,Crisil ESG 55,23-Sep-25,Adequate
BHARAT DYNAMICS LIMITED,Aerospace & Defense,Crisil ESG 51,15-Oct-25,Adequate
BHARAT ELECTRONICS LIMITED,Aerospace & Defense,Crisil ESG 52,12-Sep-25,Adequate
BHARAT FORGE LIMITED,Auto Components & Equipments,Crisil ESG 58,19-Aug-25,Adequate
BHARAT HEAVY ELECTRICALS LIMITED,Heavy Electrical Equipment,Crisil ESG 55,4-Sep-25,Adequate
BHARAT PETROLEUM CORPORATION LIMITED,Refineries & Marketing,Crisil ESG 55,9-Sep-25,Adequate
BHARTI AIRTEL LIMITED,Telecom - Cellular & Fixed line services,Crisil ESG 59,11-Aug-25,Adequate
BHARTI TELECOM LIMITED,Holding Company,Crisil ESG 54,13-Oct-25,Adequate
BIKAJI FOODS INTERNATIONAL LIMITED,Packaged Foods,Crisil ESG 55,1-Oct-25,Adequate
BIOCON LIMITED,Pharmaceuticals,Crisil ESG 63,25-Aug-25,Strong
